timestamp,action,target
"2026-06-02T11:17:17.887666","remove_bandwidth_cap","chrome.exe"
"2026-06-02T11:16:55.092248","set_bandwidth_cap","chrome.exe -> 2 KB/s (alert)"
"2026-06-01T17:29:01.510747","bandwidth_threshold_exceeded","chrome.exe (1738.9 KB/s)"
"2026-06-01T17:28:15.028423","bandwidth_threshold_exceeded","claude.exe (1223.6 KB/s)"
"2026-06-01T17:28:15.014567","bandwidth_threshold_exceeded","chrome.exe (1774.0 KB/s)"
"2026-06-01T17:27:34.438367","bandwidth_threshold_exceeded","chrome.exe (2512.7 KB/s)"
"2026-06-01T17:26:25.561265","bandwidth_threshold_exceeded","chrome.exe (1222.2 KB/s)"
"2026-06-01T17:20:17.833427","bandwidth_threshold_exceeded","msedge.exe (1399.0 KB/s)"
"2026-06-01T17:15:46.571539","bandwidth_threshold_exceeded","chrome.exe (1524.9 KB/s)"
"2026-06-01T17:15:10.483319","bandwidth_threshold_exceeded","chrome.exe (1173.4 KB/s)"
"2026-06-01T17:14:40.217611","bandwidth_threshold_exceeded","chrome.exe (2620.5 KB/s)"
"2026-06-01T17:14:09.907319","bandwidth_threshold_exceeded","chrome.exe (1024.4 KB/s)"
"2026-06-01T17:13:36.349579","bandwidth_threshold_exceeded","chrome.exe (2461.1 KB/s)"
"2026-06-01T17:13:05.929668","bandwidth_threshold_exceeded","chrome.exe (3801.7 KB/s)"
"2026-05-31T20:46:19.896641","bandwidth_threshold_exceeded","chrome.exe (1357.2 KB/s)"
"2026-05-31T20:45:14.900679","bandwidth_threshold_exceeded","chrome.exe (1252.8 KB/s)"
"2026-05-31T20:35:46.114594","bandwidth_threshold_exceeded","chrome.exe (3358.7 KB/s)"
"2026-05-31T20:35:46.092523","bandwidth_threshold_exceeded","Code.exe (1081.2 KB/s)"
"2026-05-31T20:35:13.804320","bandwidth_threshold_exceeded","chrome.exe (1114.9 KB/s)"
"2026-05-31T20:35:13.780609","bandwidth_threshold_exceeded","Code.exe (1224.7 KB/s)"
"2026-05-31T20:13:18.279380","bandwidth_threshold_exceeded","python.exe (1123.1 KB/s)"
"2026-05-31T20:13:18.260019","bandwidth_threshold_exceeded","chrome.exe (1872.2 KB/s)"
"2026-05-31T19:27:49.029868","bandwidth_threshold_exceeded","claude.exe (1073.5 KB/s)"
"2026-05-31T19:27:33.681518","bandwidth_threshold_exceeded","python.exe (1078.4 KB/s)"
"2026-05-31T19:27:33.657736","bandwidth_threshold_exceeded","msedgewebview2.exe (1078.4 KB/s)"
"2026-05-31T19:27:33.629206","bandwidth_threshold_exceeded","chrome.exe (2158.8 KB/s)"
"2026-05-31T17:21:24.496161","bandwidth_threshold_exceeded","Code.exe (1112.8 KB/s)"
"2026-05-31T17:21:24.474547","bandwidth_threshold_exceeded","msedgewebview2.exe (1669.2 KB/s)"
"2026-05-31T17:21:24.454423","bandwidth_threshold_exceeded","chrome.exe (2225.6 KB/s)"
"2026-05-31T14:02:02.542387","remove_bandwidth_cap","chrome.exe"
"2026-05-31T14:02:02.526926","adaptive_unblock_process","chrome.exe"
"2026-05-31T14:01:42.357242","cap_exceeded","chrome.exe (3229.7 KB/s, cap: 1000 KB/s)"
"2026-05-31T14:01:42.340071","adaptive_block_process","chrome.exe"
"2026-05-31T14:01:23.224517","set_bandwidth_cap","chrome.exe -> 1000 KB/s (block)"
"2026-05-31T14:00:36.233989","remove_bandwidth_cap","chrome.exe"
"2026-05-31T14:00:36.059881","adaptive_unblock_process","chrome.exe"
"2026-05-31T13:59:13.785999","cap_exceeded","chrome.exe (4.3 KB/s, cap: 2 KB/s)"
"2026-05-31T13:59:13.765864","adaptive_block_process","chrome.exe"
"2026-05-31T13:58:40.551379","cap_exceeded","chrome.exe (969.9 KB/s, cap: 2 KB/s)"
"2026-05-31T13:58:40.523004","adaptive_block_process","chrome.exe"
"2026-05-31T13:58:35.592287","set_bandwidth_cap","chrome.exe -> 2 KB/s (block)"
"2026-05-31T13:58:19.709507","bandwidth_threshold_exceeded","claude.exe (1522.2 KB/s)"
"2026-05-31T13:58:19.696125","bandwidth_threshold_exceeded","chrome.exe (1640.0 KB/s)"
"2026-05-31T13:58:13.113034","remove_bandwidth_cap","chrome.exe"
"2026-05-31T13:58:02.181696","cap_exceeded","chrome.exe (12.6 KB/s, cap: 2 KB/s)"
"2026-05-31T13:57:55.995879","set_bandwidth_cap","chrome.exe -> 2 KB/s (alert)"
"2026-05-27T14:40:55.633340","unblock_app_adaptive","chrome.exe"
"2026-05-27T14:40:55.607449","adaptive_unblock_process","chrome.exe"
"2026-05-27T14:37:17.822384","bandwidth_threshold_exceeded","chrome.exe (1783.0 KB/s)"
"2026-05-27T14:34:14.903270","bandwidth_threshold_exceeded","chrome.exe (1667.9 KB/s)"
"2026-05-27T14:31:21.848089","bandwidth_threshold_exceeded","chrome.exe (1230.0 KB/s)"
"2026-05-27T14:30:31.089511","bandwidth_threshold_exceeded","chrome.exe (1521.8 KB/s)"
"2026-05-26T00:15:15.320506","bandwidth_threshold_exceeded","python.exe (1063.4 KB/s)"
"2026-05-26T00:15:15.306072","bandwidth_threshold_exceeded","msedgewebview2.exe (1063.4 KB/s)"
"2026-05-26T00:14:58.500380","bandwidth_threshold_exceeded","Code.exe (1825.7 KB/s)"
"2026-05-26T00:14:58.489017","bandwidth_threshold_exceeded","chrome.exe (3651.5 KB/s)"
"2026-05-26T00:14:28.206443","bandwidth_threshold_exceeded","Code.exe (1879.4 KB/s)"
"2026-05-26T00:14:28.195993","bandwidth_threshold_exceeded","chrome.exe (3132.3 KB/s)"
"2026-05-24T19:00:24.407008","bandwidth_threshold_exceeded","chrome.exe (1276.5 KB/s)"
"2026-05-24T18:44:29.428884","unblock_domain","steampowered.com"
"2026-05-24T18:38:11.256011","unblock_domain","playstation.com"
"2026-05-22T15:53:54.727493","bandwidth_threshold_exceeded","python.exe (1244.0 KB/s)"
"2026-05-22T15:53:40.316274","bandwidth_threshold_exceeded","claude.exe (1630.8 KB/s)"
"2026-05-22T15:53:35.230829","bandwidth_threshold_exceeded","chrome.exe (1466.1 KB/s)"
"2026-05-22T15:52:59.845194","bandwidth_threshold_exceeded","claude.exe (1254.3 KB/s)"
"2026-05-22T15:52:59.826341","bandwidth_threshold_exceeded","OneDrive.exe (1254.3 KB/s)"
"2026-05-22T15:52:54.774717","bandwidth_threshold_exceeded","chrome.exe (1729.8 KB/s)"
"2026-05-22T15:52:54.751171","bandwidth_threshold_exceeded","msedgewebview2.exe (2018.2 KB/s)"
"2026-05-22T15:08:35.744341","remove_bandwidth_cap","chrome.exe"
"2026-05-22T15:08:35.727732","adaptive_unblock_process","chrome.exe"
"2026-05-22T15:03:27.219826","cap_exceeded","chrome.exe (2123.4 KB/s, cap: 2 KB/s)"
"2026-05-22T15:03:27.204336","adaptive_block_process","chrome.exe"
"2026-05-22T15:02:52.810930","cap_exceeded","chrome.exe (2089.9 KB/s, cap: 2 KB/s)"
"2026-05-22T15:02:52.793892","adaptive_block_process","chrome.exe"
"2026-05-22T15:02:06.755248","set_bandwidth_cap","chrome.exe -> 2 KB/s (block)"
"2026-05-22T14:29:40.975356","remove_bandwidth_cap","chrome.exe"
"2026-05-22T14:29:40.962261","adaptive_unblock_process","chrome.exe"
"2026-05-22T14:29:30.581280","cap_exceeded","chrome.exe (3.9 KB/s, cap: 2 KB/s)"
"2026-05-22T14:29:30.567497","adaptive_block_process","chrome.exe"
"2026-05-22T14:29:25.114626","set_bandwidth_cap","chrome.exe -> 2 KB/s (block)"
"2026-05-22T14:25:06.064274","unblock_app_adaptive","chrome.exe"
"2026-05-22T14:25:06.055090","adaptive_unblock_process","chrome.exe"
"2026-05-22T14:24:34.688648","remove_bandwidth_cap","chrome.exe"
"2026-05-22T14:24:12.423190","bandwidth_threshold_exceeded","python.exe (1141.1 KB/s)"
